Core#  istart#  iend#  jstart#  jend#
     0      1    124      1     69
     1      1    124     70    138
     2      1    124    139    207
     3      1    124    208    276
     4      1    124    277    345
     5      1    124    346    414
     6      1    124    415    482
     7      1    124    483    550
     8    125    248      1     69
     9    125    248     70    138
    10    125    248    139    207
    11    125    248    208    276
    12    125    248    277    345
    13    125    248    346    414
    14    125    248    415    482
    15    125    248    483    550
    16    249    372      1     69
    17    249    372     70    138
    18    249    372    139    207
    19    249    372    208    276
    20    249    372    277    345
    21    249    372    346    414
    22    249    372    415    482
    23    249    372    483    550
    24    373    496      1     69
    25    373    496     70    138
    26    373    496    139    207
    27    373    496    208    276
    28    373    496    277    345
    29    373    496    346    414
    30    373    496    415    482
    31    373    496    483    550
    32    497    620      1     69
    33    497    620     70    138
    34    497    620    139    207
    35    497    620    208    276
    36    497    620    277    345
    37    497    620    346    414
    38    497    620    415    482
    39    497    620    483    550
    40    621    744      1     69
    41    621    744     70    138
    42    621    744    139    207
    43    621    744    208    276
    44    621    744    277    345
    45    621    744    346    414
    46    621    744    415    482
    47    621    744    483    550
    48    745    868      1     69
    49    745    868     70    138
    50    745    868    139    207
    51    745    868    208    276
    52    745    868    277    345
    53    745    868    346    414
    54    745    868    415    482
    55    745    868    483    550
    56    869    992      1     69
    57    869    992     70    138
    58    869    992    139    207
    59    869    992    208    276
    60    869    992    277    345
    61    869    992    346    414
    62    869    992    415    482
    63    869    992    483    550
    64    993   1116      1     69
    65    993   1116     70    138
    66    993   1116    139    207
    67    993   1116    208    276
    68    993   1116    277    345
    69    993   1116    346    414
    70    993   1116    415    482
    71    993   1116    483    550
    72   1117   1240      1     69
    73   1117   1240     70    138
    74   1117   1240    139    207
    75   1117   1240    208    276
    76   1117   1240    277    345
    77   1117   1240    346    414
    78   1117   1240    415    482
    79   1117   1240    483    550
